My father has asked me to be the fourth corner at the Joy Luck Club.	我 爸 要 我 在 喜福会 的 麻将 台 边 的 一 方 ， 取代 我 已故 的 母亲 。													
"She is stuffing wonton, one chopstick jab of gingery meat dabbed onto a thin skin and then a single fluid turn with her hand that seals the skin into the shape of a tiny nurse's cap."	安 梅姨 说 着 ， 一边 包着 馄饨 。 她 夹 了 一 筷 拌 着 姜丝 的 肉馅 放 在 薄薄的 皮子 上 ， 手指 简单	地 一阵	拨	弄 ，	这	张	皮	子 就 被	捏	成	一	顶	护	士 帽 般的 形状 。
You can't have luck when someone else has skill.	“ 当 有 几 个 叉麻将 的 高手 在 场 时 ， 你 就 不 会 有 好运气 了 。													
Even your mother agreed.	这 一 着 ， 你 妈也 赞同 的 。 ”													
"Forty wonton, eight people, ten each, five row more, she says aloud to herself, and then continues stuffing."""	她 已经 做 了 五行 ， 每 行 八 只 。 “ 五八得四十 ， 八 个 人 每人 吃 十 只 ， 还 得做 五行 。 ”													
We can have stock market luck.	“ 大 家 都 变 聪明 了 。													
"And we can play mah jong for fun, just for a few dollars, winner take all."	如今 ， 我们 都 能 公平 地 平摊 输赢 。 我们 去 股票 市场 寻觅 福气 ， 在 麻将牌 里 寻觅 乐趣 。													
Smart-hanh?	聪明 吗 ？ 哈哈 。 ”													
"She's not stupid, said my mother on one occasion, ""but she has no spine."""	“ 她 一 点 不 笨 ， ” 有 次 妈 对 我 说 ， “ 就 是 没 胆魄 。													
And she almost wanted to drop her things and go right then.	她 一 听 ， 便 火烧眉毛 般 立时三刻 就 要 去 办 。													
And that person told her she can get her brother in bad trouble in China.	当时 那 人 就 跟 她 说 ， 她 这样 做 ， 会 给 她 在 中国 的 兄弟 惹麻烦 的 。													
That person said FBI will put her on a list and give her trouble in the U.S. the rest of her life.	他 还 说 ， 美国 工业 联邦政府 会 因 此 把 她 列入 某种 名册 里 ， 令 她 以后 在 美国 也 会 遭到 某种	麻烦 。												
"That person said, You ask for a house loan and they say no loan, because your brother is a communist."	比如 ， 他们 不 会 让 你 享受 房屋 贷款 ， 因为 你 兄弟 是 个 共产党员 。 我 就 对 她 说 ： 你 怕 啥 。													
"I said, You already have a house!"	你 已经 有 了 一 幢 自己 的 房子 了 。 但 她 还是 胆小 。 ”													
"As I watch Auntie An-mei, I see a short bent woman in her seventies, with a heavy bosom and thin, shapeless legs."	我 现在 看到 的 安 梅 阿姨 ， 是 个 七十 多 岁 、 矮 个头怄 背的 老太太 了 。 她 郁郁寡欢 ， 迈着 瘦骨	伶仃 的	双	腿 忙	碌	着	。							
She has the flattened soft fingertips of an old woman.	她 有 老年 妇人 那种 平坦 而 柔软 的 指尖 。													
I wonder what Auntie An-mei did to inspire a lifelong stream of criticism from my mother.	我 百思不得 其解 ， 究竟 安 梅 阿姨 做 了 些 什么 ， 以至 引起 我 妈 对 她 如此 苛求 。													
"Then again, it seemed my mother was always displeased with all her friends, with me, and even with my father."	其实 岂止 安 梅 阿姨 ， 其他 朋友 ， 乃至 对 我 爸 、 妈 都 觉得 有 种种 的 不够 、 缺陷 和 失调 。													
The elements were from my mother's own version of organic chemistry.	她 跟 我 说 ： “ 火 ” 太 盛 ， 则 脾气大 ， 比如 我 爸 。													
"Too much water and you flowed in too many directions, like myself, for having started half a degree in biology, then half a degree in art, and then finishing neither when I went off to work for a small ad agency as a secretary, later becoming a copywriter."	“ 水 ” 太 多 的 人 ， 流向 也 多 ， 不易 集中 精力 ， 比如 像 我 ： 学 了 半拉子 的 生物 ， 又 转向	艺术 ，	随后	，	当	上	个	小小的 广	告	代	理商		的 秘	书 ， 这时 无论 是 我 的 生物课 还 是 艺术课 ， 都 只 是 半途而废 。 而 现在 ， 又 当 上 个 自由 撰稿人 。
"I used to dismiss her criticisms as just more of her Chinese superstitions, beliefs that conveniently fit the circumstances."	从 前 我 从 不在意 她 那 一 套 ， 将 此 作为 是 中国 人 的 迷信 ， 那 一 套 只 是 适合 中国 的 社会 环	境 。												
"In my twenties, while taking Introduction to Psychology, I tried to tell her why she shouldn't criticize so much, why it didn't lead to a healthy learning environment."	二十 多 岁 时 ， 我 选读 了 心理学 ， 我 便 试图 说服 她 ， 不要 对 人 太 苛求 ， 这 不 是 一 种 好 的	教育 方	法	。										
"Time to eat, Auntie An-mei happily announces, bringing out a steaming pot of the wonton she was just wrapping."""	安 梅 阿姨 端 出 一 锅 热气腾腾 的 馄饨 ， 快乐地 吆喝 着 。													
"There are piles of food on the table, served buffet style, just like at the Kweilin feasts."	桌上 堆 着 大量 的 吃食 ， 晚餐 是 自助餐 的 形式 ， 就 像 桂林 故事 里 的 聚会 一样 。													
"My father is digging into the chow mein, which still sits in an oversize aluminum pan surrounded by little plastic packets of soy sauce."	爸 正在 替 自己 夹 炒面 。 炒面 盛在 一 只 大号 的 铝锅 内 ， 四围 搁 着 小 塑料包 酱油 ， 那 一定 是	安 梅 阿	姨	从 克	莱	门街	买	来 的 。						
Auntie An-mei must have bought this on Clement Street.	馄饨 散发 着 诱人 的 香味 ， 面上 飘着 一 层 葱花 。													
"They push large forkfuls into their mouths, jab at more pieces of pork, one right after the other."	好像 人人 都 处在 饥饿 状态 ， 一个个 狼吞虎咽 。 那 烤 猪肉 ， 被 他们 一 块 接 一 块 地 送入 肚 中 。													
"They are not like the ladies of Kweilin, who I always imagined savored their food with a certain detached delicacy."	他们 与 桂林 的 那些 女人 们 到底 不 一样 ， 他们 的 食品 ， 要 可口 美味 多 了 。 他们 吃 得 很 快 ，	完 了 ，	男	人	们	便	起身	离座 。						
I too put my plate in the sink and wash my hands.	我 也 跟着 把 盆 碟 放入 水槽 内 ， 然后 洗手 。													
"The women are talking about the Jongs' China trip, then they move toward a room in the back of the apartment."	女人 们 正在 谈论 着 龚 家 的 这次 中国 之 行 ， 她们 边 谈 边 向 公寓 后面 走 去 。													
"We pass another room, what used to be the bedroom shared by the four Hsu sons."	另 一 间 房 里 ， 喜福会 的 叔叔 们 早已 在 扑克 桌边 就座 。													
"Uncle George is dealing out cards, fast, as though he learned this technique in a casino."	乔治 叔叔 正在 发牌 ， 手势 之 熟练 ， 就 像 在 赌场 里 混迹 过 似的 。													
"My father is passing out Pall Mall cigarettes, with one already dangling from his lips."	父亲 拿 出 黑 猫 牌 香烟 待客 ， 自己 嘴上 自然也叼 上 一 支 。													
"And then we get to the room in the back, which was once shared by the three Hsu girls."	我们 来到 后房 ， 这 以前 是 许 家 三 个 女 孩子 的 卧室 。													
"Except for the smell of camphor, it feels the same鈥攁s if Rose, Ruth, and Janice might soon walk in with their hair rolled up in big orange-juice cans and plop down on their identical narrow beds."	一切 似乎 都 没 改变 ， 除了 有 一 股 浓重 的 樟脑 味 。 我 觉得 ， 似乎 罗丝 、 露丝 和 盖 丽丝 ， 立	时 会 走	进	来 。										
The white chenille bedspreads are so worn they are almost translucent.	白色 的 线 织 床罩 磨损 得 几乎 成 半透明 状 。													
Rose and I used to pluck the nubs out while talking about our boy problems.	那 阵 ， 罗丝 和 我 两 人 常 爱 躺 在 上面 边 谈论 着 男 孩子 ， 边 拨 着 上面 的 小穗子 。													
"Everything is the same, except now a mahogany-colored mah jong table sits in the center."	什么 都 保持 着 原状 ， 除了 房间 中央 多 了 一 只 桃花心木 的 麻将桌 。													
"And next to it is a floor lamp, a long black pole with three oval spotlights attached like the broad leaves of a rubber plant."	桌边 是 一 盏 黑 杆 落地灯 。 杆 上 挑 起 三 盏 蛋形 的 聚光 灯泡 ， 犹如 一 棵 宽 叶 橡皮树 。													
"The East is where things begin, my mother once told me, the direction from which the sun rises, where the wind comes from."	东方 ， 是 万物 起始 之 源 。 我 妈 说 过 ， 这 是 太阳 升起 的 地方 ， 是 风向 的 起源 。													
"Auntie An-mei, who is sitting on my left, spills the tiles onto the green felt tabletop and then says to me, Now we wash tiles."""	安 梅 阿姨 在 我 左侧 入座 ， 然后 把 麻将牌 往 绿 呢 桌面 上 一 倒 ， 说 ： “ 洗牌 。 ”													
Do you win like your mother?	“ 你 的 牌 艺 有 你 妈 好 吗 ？ ”													
"Jewish mah jong, she says in disgusted tones."""	“ 噢 ， 犹太 麻将 ！ ”													
Not the same thing.	她 不屑 地 拉长 着 声音 。													
"This is what my mother used to say, although she could never explain exactly why."	“ 那 完全 不 一样 。 ” 我 妈 也 常 这么 说 ， 但 她 从不 解释 为什么 。													
"Auntie Lin looks exasperated, as though I were a simple child: How can we play with just three people?"""	我 提 出来 。 琳 达 阿姨 生气 了 ， 觉得 我 像 小孩子 般 不 懂事 ： “ 我们 总共 只 三 个 人 ， 怎么 搓	？												
"Like a table with three legs, no balance."	就 像 只 台子 只 有 三 只 脚 ， 三缺一 。													
"When Auntie Ying's husband died, she asked her brother to join."	映姨 的 丈夫 去世 了 ， 她 就 叫来 了 她 的 兄弟 。													
I couldn't tell by her answer if the games were different or just her attitude toward Chinese and Jewish people.	然而 她 的 回答 ， 却 令 我 弄 不 清 ， 她 所 指 的 是 麻将 玩法 的 不同 ， 还是 对 中国 人 和 犹太人	本身 的	看法	不	同	？								
"She is the fastest, which means I can almost keep up with the others by watching what she does first."	我 跟着 映姨把牌 堆 起来 ， 同时 不 住地 偷眼 注意 着 琳 达姨 ， 她 手脚 最 快 。 我 的 手脚 也 不 比	别人 慢	。											
"I rearrange my tiles, sequences of bamboo and balls, doubles of colored number tiles, odd tiles that do not fit anywhere."	我 开始 整理 我 的 牌 ： 一 串 索 子 和 筒子 ， 还有 好几 对 万 子 ， 其他 零星 的 杂牌 ， 是 不 能 配	上 去 的	。											
"Your mother was the best, like a pro, says Auntie An-mei while slowly sorting her tiles, considering each piece carefully."""	“ 你 妈 的 麻将 打 得 真 好 ， 都 成 专家 了 。 ” 安 梅姨 一边笃 悠悠 地理 着 牌 ， 一边 说 。													
"Now we begin to play, looking at our hands, casting tiles, picking up others at an easy, comfortable pace."	每排 列 一 张 牌 ， 她 都 慎重地 掂量 过 。 现在 开始 了 。													
"The Joy Luck aunties begin to make small talk, not really listening to each other."	大家 一边 从容 地 抓着 牌 ， 一边 开始 聊天 ， 有 一 搭 无 一 搭 的 。													
"They speak in their special language, half in broken English, half in their own Chinese dialect."	她们 用 她们 自己 特殊 的 语言 谈天 ： 一 半 是 洋 不 洋腔 不 腔 的 英文 ， 一 半 是 她们 自己 的 中国	方言 。												
"Auntie Ying mentions she bought yarn at half price, somewhere out in the avenues."	映姨 讲 起 她 买 了 半价 的 毛线 ， 好像 就 是 街上 挑 来 的 便宜货 。													
Auntie Lin explains how mad she got at a store clerk who refused to let her return a skirt with a broken zipper.	她 得意 地 说 。 琳 达姨 则 讲 到 ， 她 怎样 对 一 位 售货员 大 光 其人 ， 因为 他 竟 不 让 她 退 一 条	拉练 已	坏	的	裙	子	。							
"You didn't die, teases Auntie Ying, and then as she laughs Auntie Lin says 'Pung!'"""	“ 哦 ， 琳 达 ， 你 并 没有 死 ， 你 还 好端端 地 坐 在 麻将 台 边 呢 。 ” 映姨挪榆 着 她 ， 一边 咯	咯 地 笑	着	。										
and 'Mah jong!'	琳 达姨 突 的 一 声 “ 碰 ！ ”													
"and then spreads her tiles out, laughing back at Auntie Ying while counting up her points."	然后 啪 啦 一 声 ， 她 把 牌 往 台 上 一 摊 ， “ 和 啦 ！ ” 她 一边 数 着 自己 的 “ 段 头 ” ， 一边	讪笑 着	瞥	了	一	眼映	姨	。						
"Oh, I have a story, says Auntie Ying loudly, startling everybody."""	“ 呵 ， 告诉 你们 一 件 事 ， ” 映姨 冷不丁 开口 ， 她 的 嗓门 很 大 ， 把 大家 都 吓 了 一 跳 。													
"Auntie Ying has always been the weird auntie, someone lost in her own world."	映姨 常常 就 是 这样 让 人 捉摸不透 ， 有 点 自说自话 。													
"Police arrested Mrs. Emerson's son last weekend, Auntie Ying says in a way that sounds as if she were proud to be the first with this big news."""	“ 上 礼拜六 ， 埃默森 太太 的 儿子 给 抓 进去 了 。 ” 映姨 的 口 气 ， 颇 有 点 为 自己 的 消息 灵通	而 得意	。											
Mrs. Chan told me at church.	“ 那 是 张 太太 在 教堂 里 对 我 说 的 。													
Too many TV set found in his car.	说 人家 发现 ， 他 汽车 里 藏 着 大量 电视机 。 ”													
"Auntie Lin quickly says, Aii-ya, Mrs. Emerson good lady,"" meaning Mrs. Emerson didn't deserve such a terrible son."""	琳 达姨 接 口道 ： “ 哎 呀 ， 埃默森 太太 可 是 个 好人 呢 ！ ” 言下之意 ， 可惜 摊上 这么 个 不肖 之	子 。												
"But now I see this is also said for the benefit of Auntie An-mei, whose own youngest son was arrested two years ago for selling stolen car stereos."	现在 想 起来 ， 她 讲 这话 ， 也 是 为着 顾全 安 梅姨 的 面子 ， 不至 令 其 大 难堪 。 两 年 前 ， 安梅	姨 的 儿	子	因	盗卖	汽	车	音响 而	被捕	。				
"Everybody has TVs in China now, says Auntie Lin, changing the subject."""	“ 在 中国 ， 现在 几乎 人人 都 有 电视机 。 ” 琳 达姨 换 了 个 话题 。													
"So when we asked them what we should buy them, they said nothing, it was enough that we would come to visit them."	他们 什么 都 有 ， 因此当 我们 问 ， 需要 带 些 什么 回去 时 ， 他们 则 说 什么 都 不要 ， 只要 回去 看	看 他们	就	足够	了	。								
"But we bought them different things anyway, VCR and Sony Walkman for the kids."	但 不管 怎么 总得 带 点 什么 回去 ， 比如 录像机 和 索尼 的 ‘ 行路人 ’ ， 给 小孩子 们 玩玩 嘛 。 尽	管 他们	说	不 用	啦	，	但	我 想他	们	会	喜	欢	的	。 ”
"My mother told me the other bag contained the most ridiculous clothes, all new: bright California-style beachwear, baseball caps, cotton pants with elastic waists, bomber jackets, Stanford sweatshirts, crew socks."	而 另 一 只 箱子 则 塞满了 可笑 的 衣物 ， 全 是 崭新 的 。 有 色彩鲜艳 的 加尼福尼亚式 的 海滩装 ， 垒	球 帽 ，	宽	紧	腰	的	棉	布 短裤 ，	投	弹	手	外	套 ，	斯丹福t恤 和 水手 袜 。
"My mother had told her, Who wants those useless things?"""	我 妈 曾 劝告 她 ： “ 谁 要 这种 华而不实 的 玩意 ？													
They just want money.	他们 只 需要 钱 。 ”													
But Auntie An-mei said her brother was so poor and they were so rich by comparison.	但 安梅姨 却说 她 的 兄弟 很 穷 ， 相比之下 ， 她 却 富有 多 了 。													
"As my mother told it, Auntie An-mei had cried before she left for China, thinking she would make her brother very rich and happy by communist standards."""	正 如 我 妈 说 ： “ 安梅姨 在 没到 中国 前 ， 曾 以为 她 将 给 她 弟弟 带 去 财富 和 幸福 ， 将 让 她	弟弟 在	中	国 过	上	生	活	水平 中等	的	好	日	子	。	
"And when the suitcases were emptied, the relatives asked what else the Hsus had brought."	当 箱子 给 掏空 时 ， 那些 亲戚 还 在 一个劲 问 ： “ 还有 什么 ？ 还有 什么 ？ ”													
"Auntie An-mei and Uncle George were shaken down, not just for two thousand dollars' worth of TVs and refrigerators but also for a night's lodging for twenty-six people in the Overlooking the Lake Hotel, for three banquet tables at a restaurant that catered to rich foreigners, for three special gifts for each relative, and finally, for a loan of five thousand yuan in foreign exchange to a cousin's so-called uncle who wanted to buy a motorcycle but who later disappeared for good along with the money."	安梅姨 和 乔治 叔叔 被 敲诈 掉 的 不仅仅 只 是 价值 两千 美元 的 电视机 和 冰箱 ， 还有 计 六 个 人 在	环湖 宾	馆	一 夜	的	房	钱	， 在 餐	厅	的	三	桌	外宾	规格 的 筵席 ， 以及 给 每位 亲戚 的 三 份 特殊 礼物 ， 最后 ， 还 把 五千 元 外汇券 “ 借 ” 给 一个 堂妹 的 “ 小叔 ” ， 他 说 要 买 一 辆 摩托 ， 然而 这 人 最后 连 钱 带 人 都 不见 了 。 待 第二 天 他们 坐 火车 离开 杭州 时 ， 许家 夫妇 发现 ， 他们 竟 花 了 九千 美元 来 应付 这些 亲戚 。
"When the train pulled out of Hangzhou the next day, the Hsus found themselves depleted of some nine thousand dollars' worth of goodwill."	几 个 月 后 ， 在 第一 中国 浸礼 会 的 一个 心情 激荡 的 圣诞 礼拜 上 ， 安梅姨 作见证 说 ： “ 施 较之	得 ，	更	令 人	感	到	幸	福 。 ”	她	只	是	以	此	来 平衡 自己 受伤 的 内心 。
"Months later, after an inspiring Christmastime service at the First Chinese Baptist Church, Auntie An-mei tried to recoup her loss by saying it truly was more blessed to give than to receive, and my mother agreed, her longtime friend had blessings for at least several lifetimes."	反正 ， 她 的 老朋友 安 梅姨 所 作 的 施舍 ， 已 够 修好 几 个 来世 了 。 现在 ， 琳 达姨 在 麻将 台上	如此 津	津乐	道	地	称赞	着	她 的 大	陆	亲	友	的	种种	通情达理 之 处 ， 我 想 ， 她 应该 明白 ， 这 会 伤 了 安梅姨 的 心 的 。
"Listening now to Auntie Lin bragging about the virtues of her family in China, I realize that Auntie Lin is oblivious to Auntie An-mei's pain."	琳 达姨 是 在 使 小心眼 ？ 也许 ， 我 妈 只 跟 我 一个 人 讲 过 ， 有关 安 梅 阿姨 夫妇 在 大陆 被 敲竹	杠 的 倒	霉	事	。									
"Is Auntie Lin being mean, or is it that my mother never told anybody but me the shameful story of Auntie An-mei's greedy family?"	其他人 对 此 ， 或者 还 蒙在鼓里 呢 ？ “ 精美 ， 你 还 在 读书 吗 ？ ”													
"So, Jing-mei, you go to school now?"	琳姨 问 我 。 “ 她 叫 琼 。													
"They all go by their American names, says Auntie Ying."""	映 姨说 。 “ 叫 琼 也好 。 ”													
"That's okay, I say, and I really mean it."""	我 说 。 我 倒 宁可 叫 琼 。													
"In fact, it's even becoming fashionable for American-born Chinese to use their Chinese names."	事实上 ， 如今 在 美国 出生 的 华裔 用 中国 名字 ， 倒 变成 时髦 之 举 了 。													
"I know my mother probably told her I was going back to school to finish my degree, because somewhere back, maybe just six months ago, we were again having this argument about my being a failure, a college drop-off,"" about my going back to finish."""	我 知道 ， 妈 肯定 已 跟 她 说 过 ， 我 打算 回 大学 读 完 我 的 学位 。 因为 约 半 年 前 ， 我 与 妈	又 争辩	了	一 次	，	她	认	为 我 是	个	失	败者		， 一	个 大学 的 流生 ， 坚持 要 我 回 校 去 把 学位 读 到 手 。
"Once again I had told my mother what she wanted to hear: You're right."""	我 又 一 次 哄 了 她 ： “ 你 讲 得 对 ， 我 得 考虑 一下 。 ”													
But listening to Auntie Lin tonight reminds me once again: My mother and I never really understood one another.	但 今晚 琳 达姨 又 一 次 提醒 我 ： 我们 母女 俩 ， 从来 没有 互相 了解 过 。 我们 只 是 在 注释 着 彼	此 的 见	解	。										
"We translated each other's meanings and I seemed to hear less than what was said, while my mother heard more."	可 我 听 人 耳 已 打 了 很 大 折扣 ， 而 母亲 听 入耳 的 ， 却 比 我 说 的 内容 要 多 得 多 ……													
No doubt she told Auntie Lin I was going back to school to get a doctorate.	所以 ， 她 才 会 跟 琳 达姨 说 ， 我 打算 回 学校 去 读 个 博士学位 。													
Auntie Lin and my mother were both best friends and arch enemies who spent a lifetime comparing their children.	琳 达姨 与 我 妈 ， 既 是 好 朋友 ， 又 在 明争暗斗 。													
"I was one month older than Waverly Jong, Auntie Lin's prized daughter."	她们 花 了 整整 一生 ， 拿 各自 的 孩子 攀比 着 。													
"From the time we were babies, our mothers compared the creases in our belly buttons, how shapely our earlobes were, how fast we healed when we scraped our knees, how thick and dark our hair, how many shoes we wore out in one year, and later, how smart Waverly was at playing chess, how many trophies she had won last month, how many newspapers had printed her name, how many cities she had visited."	我 比 琳 达姨 的 宝贝 女儿 薇 弗莱 大 一个 月 ， 打从 我们 襁褓 时代 起 ， 我们 的 母亲 们 就 开始 比较	我们 肚	脐	的	折痕	，	耳	垂 的 形	状	，	跌	破	的	膝盖 愈合 时间 的 长短 ， 头发 的 密 疏 与 深浅 ， 穿破 鞋子 的 多少 …… 后来 ， 就 是 薇 弗莱 的 棋 下 得 有 多 好 ， 又 捧 回 了 多少 奖品 ， 多少 报纸 刊出 了 她 的 名字 ， 她 游览 过 多少 城市 ……
I know my mother resented listening to Auntie Lin talk about Waverly when she had nothing to come back with.	我 妈 一 听 琳 达姨 提到 薇 弗莱 ， 心里 就 不 舒坦 ， 自觉 无法 与 她 攀比 。													
At first my mother tried to cultivate some hidden genius in me.	起先 ， 妈 是 挺 想 培养 我 的 。													
She did housework for an old retired piano teacher down the hall who gave me lessons and free use of a piano to practice on in exchange.	她 替 楼下 一个 退休 教师 做 清洁工 ， 而 请 他 做 我 的 免费 钢琴 教师 ， 并 借用 他 的 钢琴 让 我 练	琴 。												
"When I failed to become a concert pianist, or even an accompanist for the church youth choir, she finally explained that I was late-blooming, like Einstein, who everyone thought was retarded until he discovered a bomb."	然而 我 还是 成 不 了 独奏 钢琴家 ， 哪怕 在 教堂 的 青年 唱诗班 上 伴奏 也 没有 资格 。 她 将 此 解释	为 ， 我	是	个	大	器晚	成	者 。						
"Now it is Auntie Ying who wins this hand of mah jong, so we count points and begin again."	比如 爱因斯坦 ， 在 他 发明 原子弹 前 ， 大家 都 以为 他 智力 迟钝 。													
She quickly erases her smile and tries for some modesty.	“ 知道 吗 ， 丽娜 搬 到 树林 区 了 ？ ”													
"Even though Lena and I are still friends, we have grown naturally cautious about telling each other too much."	不管 怎么说 ， 丽娜 和 我 还是 朋友 。													
"It's getting late, I say after we finish the round."""	“ 时间 不早 了 。 ” 当 这 一 圈 完 了 后 ， 我 起身 说 。													
"I start to stand up, but Auntie Lin pushes me back down into the chair."	但 琳 达姨 却 把 我 按 四座 上 。 “ 再 坐 一会 ， 我们 再 聊聊 ， 让 大家 重新 认识 一 下 你 。 ”													
"No, I really must go now, thank you, thank you, I say, glad I remembered how the pretense goes."""	“ 不 ， 我 真的 要 走 了 ， 谢谢 。 ” 我 说 ， 并且 很 高兴 自己 还 记得 应付 这种 客套 的 惯用 托词	。												
"Auntie An-mei leaves the room quickly and returns with a bowl of peanuts, then quietly shuts the door."	我 坐 了 下来 。 安梅姨旋身 出 去 一会 ， 端来 一 碗 花生米 ， 随手 掩 上 门 在 桌边 坐 下 。													
"I think your mother die with an important thought on her mind, she says in halting English."""	半 天 ， 映姨 开口 了 ： “ 我 想 ， 你 母亲 的 死 ， 是 因为 她 冒 出 一个 强烈 的 欲望 。 ”													
"And then she begins to speak in Chinese, calmly, softly."	她 以 不连贯 的 英文 说 着 ， 渐渐 改用 中文 娓娓 地 说开 了 。													
"Your mother was a very strong woman, a good mother."	“ 你 妈 ， 是 个 非常 要 强 的 女人 。													
"She loved you very much, more than her own life."	她 很 爱 你 ， 更 甚于 爱 自己 的 生命 。													
And that's why you can understand why a mother like this could never forget her other daughters.	所以 你 就 该 明白 ， 这样 的 母亲 ， 是 怎么 也 忘 不 了 她 另外 两 个 孩子 。													
"She knew they were alive, and before she died she wanted to find her daughters in China."	她 知道 她们 还 在 人世 ， 还 活 着 ， 在 她 去世 前 ， 她 就 打定主意 去 中国 找 她们 。 ”													
"The babies in Kweilin, I think."	我 立时 想到 ， 桂林 的 那 对 婴孩 ！													
I was not those babies.	我 不 是 她们 中 之一 。													
"And now I feel as if I were in Kweilin amidst the bombing and I can see these babies lying on the side of the road, their red thumbs popped out of their mouths, screaming to be reclaimed."	她 的 另外 两 个 女儿 ！ 瞬时 我 觉得 自己 仿佛 就 置身 在 硝烟弥漫 的 桂林 空袭 之中 ， 我 看见 ， 两	个 婴孩	躺	在	路边	嗷	嗷	啼哭 ，	她们	吮	得	通	红	的 拇指 ， 在 我 眼前 晃动 。
"And now my mother's left me forever, gone back to China to get these babies."	然而 现在 ， 妈妈 已 永远 离开 了 我 ， 她 回 中国 去 照看 这 两 个 孩子 了 ！													
I can barely hear Auntie Ying's voice.	在 我 神情恍惚 之际 ， 远远 飘 来 映姨 的 声音 ：													
"She had searched for years, written letters back and forth, says Auntie Ying."""	“ …… 她 找 了 多少 年 啦 ， 写 了 一 大 堆 信 …… ”													
"My sisters, I repeat to myself, saying these two words together for the first time."	我 机械 地 重复 了 一下 。 这 两 个 字音 在 我 ， 还是 第一 次 发出 。													
"The aunties are all smiling at me, as though I had been a dying person who has now miraculously recovered."	阿姨 们 对 着 我 嘻嘻 笑 着 ， 就 像 我 是 个 死 而 复活 的 人 一样 。													
I can't believe it.	我 弄糊涂 了 。													
My sisters are sending me money?	“ 我 的 姐姐 给 我 的 ？ ”													
I ask.	我 问 。 “ 哪里 。 ”													
"Most times your mother win, so most is her money."	你 母亲 赢得 最 多 ， 所以 这里 的 钱 多半 是 她 赢 来 的 ， 我们 只 添 进 了 些许 零头 。													
"We add just a little, so you can go Hong Kong, take a train to Shanghai, see your sisters."	这样 你 就 可以 用 它 作为 去 香港 的 费用 ， 再 乘 火车 去 上海 看望 你 的 姐姐 们 。													
"See my sisters, I say numbly."""	“ 去 看 我 的 姐姐 。 ” 我 漠然 地 重复 了 一 遍 。													
"I am awed by this prospect, trying to imagine what I would see."	我 有点 害怕 这样 的 会面 ， 想象 不 出 ， 这 将 是 怎样 的 一个 场面 ？													
And I am embarrassed by the end-of-the-year-banquet lie my aunties have told to mask their generosity.	阿姨 们 编造 的 那个 有关 年终 宴会 的 谎话 ， 令 我 窘迫 不已 ，													
"I am crying now, sobbing and laughing at the same time, seeing but not understanding this loyalty to my mother."	我 哭 了 ， 哭着 哭 着 ， 又 笑 了 。 我 见 到 了 母亲 那 颗 拳拳之心 ， 但 又 实在 对 她 一点 也 不 了	解 。												
"You must see your sisters and tell them about your mother's death, says Auntie Ying."""	“ 你 必须 去 看看 你 的 姐姐 ， 把 你 母亲 的 死讯 告诉 她们 。 ”													
"But most important, you must tell them about her life."	映 姨说 ， “ 然而 最 要紧 的 是 ， 你 必须 告诉 她们 你 妈 的 身世 。													
"The mother they did not know, they must now know."	对 这个 母亲 ， 她们 是 一无所知 的 ， 但 她们 必须 知道 。 ”													
"See my sisters, tell them about my mother, I say, nodding."""	“ 去 看望 她们 ， 跟 她们 讲讲 妈妈 。 ” 我 连连 点头 答应 ，													
What will I say?	“ 但是 …… 我 该 怎么 说 呢 ？													
The aunties are looking at me as if I had become crazy right before their eyes.	阿姨 们 面面相觑 了 半 天 ， 好像 我 说 了 什么 神智 不 清 的 话语 。													
How can you say?	安 梅姨 怀疑地 嚷 起来 ， “ 亏 你 说 得 出口 。													
Your mother is in your bones!	你 必须 了解 自己 的 妈妈 ！ ”													
"I hear more choruses of Tell them, tell them"" as each Auntie frantically tries to think what should be passed on."""	刹那间 ， “ 跟 她们 说 …… ” “ 跟 她们 讲 ” ， 就 像 一 曲 多 声部 合唱 ， 直 冲 我 的 耳膜 。													
Her dutiful nature to family.	“ 她 那能 干 的 持家 之 道 。 ”													
"Her hopes, things that matter to her."	“ 她 的 希望 。 ”													
The excellent dishes she cooked.	“ 她 烧 的 那 一 手 好 菜 。 ”													
"Imagine, a daughter not knowing her own mother!"	“ 想想 看 ， 女儿 竟然 不 了解 自己 母亲 ！ ”													
"In me, they see their own daughters, just as ignorant, just as unmindful of all the truths and hopes they have brought to America."	其实 只 是 ， 由 我 联想 到 她们 自己 的 女儿 。 她们 的 女儿 们 ， 也 像 我 这样 ， 对 自己 母亲 带 至	美国 的	准	则	和	企望	一	无所知 ，	而	且	漠	不	关心	。
"They see daughters who grow impatient when their mothers talk in Chinese, who think they are stupid when they explain things in fractured English."	她们 发现 ， 自己 的 女儿 们 不耐烦 母亲 们 的 汉语 交谈 ， 而 当母亲 们 用 结结巴巴 的 英语 向 她们 解	释 ， 或	注	释	某种	意	图	时 ， 女	儿	们	则	耻	笑 她	们 的 英语 ， 认为 她们 脑子 不 大 灵活 。
"They see that joy and luck do not mean the same to their daughters, that to these closed American-born minds joy luck"" is not a word, it does not exist."""	母亲 们 认为 是 快乐 和 幸福 的 ， 在 女儿 眼中 却 不 一定 。 对 这些 根本 没 见 过 世面 的 美国 出生	的 脑袋瓜	，	“	喜	福会	”	三 个 字	是	空	空	然	，	毫无意义 。
